,x-box,y-box,width,high ,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,letter_a
56,3,5,5,4,4,9,3,4,3,8,4,9,3,6,4,8,0
57,2,6,3,4,2,6,7,10,8,6,6,6,3,8,3,8,0
58,6,10,4,5,2,6,9,6,6,11,7,7,2,9,5,9,0
59,5,10,6,8,5,9,3,2,6,9,2,9,2,5,3,9,0
60,3,3,3,5,2,7,7,13,2,5,6,8,5,8,0,8,0
61,2,3,3,1,1,5,9,4,6,11,9,11,1,9,2,8,0
62,6,9,4,4,2,7,7,4,7,10,6,10,1,9,7,9,0
63,4,9,5,6,5,7,6,3,5,6,6,9,2,8,8,8,0
64,3,3,4,1,2,8,7,5,6,7,6,8,5,8,3,7,0
65,2,3,2,4,1,0,1,5,6,0,0,6,0,8,0,8,0
66,3,5,5,4,3,7,8,3,6,10,6,8,3,8,3,8,0
67,2,3,3,2,2,7,7,5,7,7,6,8,2,8,5,10,0
68,5,10,6,7,6,9,6,6,4,7,8,7,6,9,8,3,0
69,8,12,8,6,4,9,8,4,5,8,4,5,6,9,5,9,0
70,5,10,5,5,4,9,6,5,6,10,6,7,4,8,9,9,0
71,3,8,5,7,3,8,7,9,6,6,6,9,3,8,5,9,0
72,4,6,6,4,5,8,5,6,4,6,7,10,4,7,5,9,0
73,2,8,3,6,1,13,3,8,4,13,3,11,1,6,0,8,0
74,4,7,5,5,2,8,9,1,7,14,5,6,0,8,1,8,0
75,4,5,5,4,3,7,7,7,7,7,6,5,2,8,3,7,0
76,2,6,4,4,3,6,7,5,5,6,5,7,3,7,5,8,0
77,4,5,7,4,4,6,6,3,4,9,9,10,7,5,2,8,0
78,3,7,5,5,3,12,2,3,2,10,2,9,2,6,3,8,1
79,3,5,4,4,2,7,8,5,4,7,7,7,6,9,2,5,0
80,6,10,9,7,8,3,7,4,5,10,11,10,7,9,3,7,0
81,8,14,7,8,4,5,10,6,3,12,5,4,4,10,4,8,0
82,6,12,5,7,4,8,5,4,3,9,9,11,4,9,8,10,0
83,6,10,8,8,7,8,5,7,5,7,6,6,3,9,8,9,0
84,2,3,3,1,1,5,9,3,3,10,8,8,4,8,0,8,0
85,3,4,4,3,2,9,10,3,2,5,9,7,6,11,0,8,0
86,3,8,5,6,6,8,7,4,1,8,7,8,5,10,4,7,0
87,6,9,9,8,10,8,7,5,5,7,6,8,8,9,9,3,0
88,6,7,9,5,7,4,7,3,5,10,10,11,8,6,3,7,0
89,4,8,5,6,4,7,7,4,8,11,8,9,2,9,5,7,0
90,6,11,8,8,9,5,8,3,4,8,8,9,7,9,5,4,0
91,8,10,8,7,4,3,10,3,7,11,12,6,1,11,3,5,0
92,4,8,5,6,3,6,8,4,1,7,8,8,8,9,0,8,0
93,6,7,8,6,6,6,6,5,6,8,5,8,3,6,5,6,0
94,4,4,4,6,2,7,7,14,2,5,6,8,6,8,0,8,0
95,4,8,5,6,5,7,10,8,5,8,5,6,3,6,7,11,0
96,4,7,5,5,3,8,7,8,5,10,6,8,3,8,3,8,0
97,4,8,5,6,4,7,7,9,4,6,4,6,3,7,3,8,0
98,4,9,5,6,2,7,6,15,1,7,7,8,3,8,0,8,0
99,7,11,8,9,4,3,9,6,7,11,11,10,3,9,2,6,0
100,2,7,3,5,1,6,10,0,3,7,11,8,1,11,0,8,0
101,6,8,7,6,4,6,9,4,8,11,7,6,2,8,5,5,0
102,5,9,6,7,5,7,7,7,5,7,6,7,2,8,9,8,0
103,2,3,2,2,1,7,11,2,6,7,10,8,1,11,1,7,0
104,2,3,3,2,1,4,7,4,6,10,9,13,1,9,2,7,0
105,4,10,7,7,2,9,8,5,3,5,14,8,3,9,0,8,0
106,5,8,5,6,3,6,12,4,7,12,9,4,2,12,2,4,0
107,7,12,6,6,3,7,8,2,7,9,7,8,5,8,3,7,0
108,3,8,4,6,4,7,8,7,6,7,7,5,3,8,3,7,0
109,2,1,3,1,1,7,8,4,0,7,8,8,6,10,0,8,0
110,2,9,3,7,2,8,7,0,7,13,6,9,0,8,1,8,0
111,3,8,3,6,2,3,7,6,10,7,6,14,0,8,7,8,0
112,6,9,8,7,4,6,12,6,6,13,7,3,2,9,2,5,0
113,3,9,4,7,3,7,7,0,7,13,6,8,0,8,1,8,0
114,5,10,7,8,8,7,7,6,6,7,6,9,3,8,4,8,0
115,4,7,4,5,2,7,5,13,5,7,14,7,3,9,0,8,0
116,2,3,3,2,1,6,8,7,7,9,7,12,1,10,3,9,0
117,5,9,6,7,7,7,6,6,4,7,7,8,5,10,9,12,0
118,3,8,5,6,3,9,2,2,3,8,2,8,2,6,3,7,1
119,3,7,5,5,3,7,8,2,9,11,7,7,1,8,6,7,0
120,3,7,5,5,2,10,5,2,8,10,1,7,3,7,3,10,0
121,3,3,5,2,2,5,10,3,4,10,8,7,5,8,1,8,0
122,6,9,5,4,3,10,6,5,5,10,2,8,6,6,4,9,0
123,3,3,3,4,3,7,7,5,5,7,6,6,5,8,5,10,0
124,5,9,7,7,7,8,8,3,6,10,5,6,3,7,6,8,0
125,5,6,5,4,2,5,8,6,8,9,8,8,3,9,2,5,0
126,4,4,6,5,4,8,9,4,5,7,6,9,3,7,8,8,0
127,3,7,4,5,2,1,11,4,4,11,11,8,0,8,2,7,0
128,6,8,9,6,6,11,6,2,5,9,3,6,9,7,2,9,0
129,1,1,2,1,1,7,7,12,1,7,6,8,3,8,0,8,0
130,2,1,4,2,1,8,1,2,2,7,2,8,2,5,2,7,1
131,5,10,4,5,3,6,6,6,2,9,6,9,5,9,4,8,0
132,1,0,1,1,1,4,7,5,8,7,6,13,0,8,6,10,0
133,3,3,3,1,1,5,8,5,7,10,9,8,3,10,2,6,0
134,3,7,5,5,3,10,4,1,2,8,3,9,2,4,2,7,1
135,4,8,5,6,3,5,8,1,8,10,9,9,2,9,3,6,0
136,5,8,7,6,4,8,8,4,9,11,3,8,2,6,4,9,0
137,1,3,2,2,1,10,7,1,5,11,4,8,0,7,0,7,0
138,5,11,8,8,5,6,7,2,7,10,7,10,4,8,4,8,0
139,2,6,2,4,1,9,5,0,6,13,5,9,0,8,1,8,0
140,7,11,10,8,6,6,11,3,6,13,6,3,0,10,3,8,0
141,2,1,2,1,0,8,15,1,4,6,10,8,0,8,0,8,0
142,1,1,2,2,1,6,8,6,6,9,7,12,1,9,3,10,0
143,4,9,4,7,4,7,8,13,1,7,5,8,3,8,0,8,0
144,2,4,4,3,2,10,2,2,2,9,2,9,2,7,3,9,1
145,6,11,9,8,11,7,7,3,6,6,7,11,6,11,9,7,0
146,3,6,4,4,3,7,12,4,6,7,11,8,2,12,1,7,0
147,2,8,4,6,2,12,2,4,3,11,2,10,3,6,3,9,1
148,3,9,5,7,3,8,9,4,1,6,12,8,2,10,0,8,0
149,5,7,6,5,5,8,8,8,5,6,7,9,4,8,4,5,0
150,2,9,2,6,3,7,7,0,7,7,6,8,0,8,2,8,0
151,8,14,8,8,5,8,5,2,9,12,6,9,3,7,6,7,0
152,4,7,6,5,6,8,8,4,2,8,7,8,7,11,5,8,0
153,5,9,7,6,7,9,7,5,5,6,7,6,10,7,4,6,0
154,4,8,6,6,4,6,5,2,8,7,2,8,1,6,3,7,0
155,3,3,5,5,2,9,6,9,7,7,5,10,3,8,4,8,0
156,4,2,5,4,4,7,7,5,6,7,6,6,2,8,7,10,0
157,8,15,7,8,4,8,2,3,2,8,5,12,5,4,5,5,1
158,6,9,9,6,7,9,6,1,7,10,3,8,3,7,3,9,0
159,3,7,4,5,4,7,7,5,6,7,6,8,3,8,3,8,0
160,7,9,7,7,5,6,10,1,8,11,9,5,2,9,3,4,0
161,6,5,7,4,4,4,11,2,2,9,9,8,7,11,1,7,0
162,3,8,3,5,1,1,12,4,5,12,11,8,0,8,2,6,0
163,3,3,5,4,1,7,6,3,0,7,0,8,2,7,1,8,1
164,3,8,3,6,3,3,6,5,9,5,4,13,0,8,6,9,0
165,4,9,5,7,4,7,7,12,1,7,9,8,8,6,0,8,0
166,4,9,5,7,6,7,8,9,6,7,6,6,2,8,8,10,0
167,3,7,5,5,6,7,8,6,4,6,6,8,5,8,7,9,0
168,6,9,6,7,4,5,8,0,8,8,9,5,2,11,4,4,0
169,4,9,6,7,3,6,12,3,4,7,12,9,3,10,1,8,0
170,2,8,3,6,3,8,8,7,6,7,4,6,2,7,8,8,0
171,2,1,2,2,1,6,8,7,7,8,7,12,1,9,4,10,0
172,4,9,6,6,8,7,7,6,3,7,6,7,8,7,9,9,0
173,5,8,5,6,4,8,6,11,4,8,13,7,3,9,0,8,0
174,6,10,6,6,4,7,10,5,2,11,5,4,4,11,5,7,0
175,3,8,4,6,2,7,7,4,13,10,6,8,0,8,8,8,0
176,3,4,5,2,2,7,7,2,8,11,7,9,2,8,4,8,0
177,5,9,7,6,4,4,10,3,4,9,10,9,5,8,1,8,0
178,6,10,5,6,3,5,9,6,3,10,5,6,5,9,4,7,0
179,4,5,5,4,4,7,7,6,6,7,6,7,3,8,3,6,0
180,6,11,6,8,5,6,11,3,7,11,9,5,2,12,2,4,0
181,5,5,5,8,4,7,9,10,8,7,5,7,2,8,9,10,0
182,5,10,6,7,2,7,4,14,6,7,15,8,3,9,0,8,0
183,3,4,4,6,2,8,8,6,9,5,5,5,0,8,9,7,0
184,5,6,5,8,2,1,14,5,3,12,9,5,0,8,3,6,0
185,3,9,4,7,4,9,6,1,6,11,4,7,0,6,1,6,0
186,3,6,4,4,4,6,7,5,5,7,6,7,3,7,4,9,0
187,3,2,3,4,3,7,8,5,7,7,5,9,2,8,5,10,0
188,6,9,6,4,4,8,9,5,3,10,5,5,5,10,5,6,0
189,2,2,1,4,1,7,7,1,7,7,6,8,0,8,3,8,0
190,7,10,9,8,9,7,7,5,5,7,6,7,7,6,9,13,0
191,4,10,6,7,4,8,6,8,7,4,5,3,3,8,4,8,0
192,4,7,6,5,7,9,6,4,4,6,6,7,7,8,6,7,0
193,5,10,7,8,6,7,9,8,5,8,5,6,3,7,7,10,0
194,7,10,10,7,7,9,6,2,5,9,5,7,8,6,2,8,0
195,6,11,7,8,3,4,13,9,2,10,6,4,1,10,4,8,0
196,4,8,6,6,4,8,5,8,4,7,5,8,3,8,3,8,0
197,2,8,3,6,3,8,7,7,5,7,6,7,2,9,8,8,0
198,4,7,6,5,4,3,8,3,7,11,11,12,3,8,3,5,0
199,7,10,7,8,3,3,11,4,4,10,12,8,3,10,1,8,0
200,7,11,10,8,5,6,11,2,7,14,7,4,1,10,2,7,0
201,3,4,5,6,1,6,10,3,2,9,13,8,1,11,0,8,0
202,4,6,6,4,3,11,6,3,8,11,3,6,3,8,3,9,0
203,1,0,1,1,0,7,7,2,10,8,6,8,0,8,6,8,0
204,3,5,3,6,3,7,8,6,3,8,8,9,3,8,5,7,0
205,8,14,8,8,4,9,4,4,4,13,5,8,3,10,3,8,0
206,5,7,7,5,6,8,6,5,6,9,6,7,3,9,6,10,0
207,8,13,9,7,5,6,7,3,6,10,8,10,6,10,4,7,0
208,3,10,5,7,2,5,8,5,3,9,14,8,3,10,0,8,0
209,4,7,4,5,3,6,7,9,7,7,6,7,2,8,9,10,0
210,2,2,4,4,2,6,10,1,7,7,11,9,1,11,1,8,0
211,3,4,4,3,2,7,7,7,5,7,6,8,2,8,3,8,0
212,6,10,8,7,5,8,6,3,10,12,4,9,1,7,6,9,0
213,2,3,3,2,1,6,4,1,8,7,2,10,0,7,2,8,0
214,1,3,2,2,1,10,6,2,6,12,4,9,0,7,1,7,0
215,1,3,3,2,1,7,8,1,9,11,7,7,1,8,5,7,0
216,3,5,5,7,2,7,7,3,1,6,0,8,3,7,1,8,1
217,3,5,4,5,3,8,7,4,5,7,6,8,3,8,7,10,0
218,2,5,3,3,1,10,7,1,7,12,3,7,0,7,1,7,0
219,5,6,6,8,5,8,7,6,3,7,7,12,3,8,6,8,0
220,1,3,2,1,1,7,8,5,3,7,7,7,4,8,1,6,0
221,2,6,3,4,1,7,7,3,13,9,6,8,0,8,8,8,0
222,4,9,5,7,3,3,7,6,11,7,6,15,0,8,7,7,0
223,4,7,3,10,3,9,7,3,3,11,4,5,3,8,6,9,0
224,4,8,5,6,3,5,7,10,10,6,5,6,3,8,4,8,0
225,5,10,6,8,5,7,8,9,6,8,8,6,4,8,5,10,0
226,3,6,4,4,2,5,4,3,8,3,2,6,1,6,2,5,0
227,4,5,5,4,2,4,12,4,4,11,11,6,2,10,1,8,0
228,6,10,9,8,6,7,7,0,8,9,6,8,3,8,4,7,0
229,5,8,6,6,3,6,6,4,5,14,8,12,1,6,1,7,0
230,7,10,10,8,5,7,8,3,5,10,6,7,7,8,1,8,0
231,3,5,5,7,4,10,11,3,2,7,8,8,3,10,7,9,0
232,2,7,4,5,3,13,3,3,2,10,1,8,2,6,2,8,1
233,4,6,5,9,9,8,7,5,0,7,6,7,6,10,6,9,0
234,4,9,6,6,2,10,5,3,1,8,1,9,2,7,2,8,1
235,4,8,5,6,3,5,10,4,6,11,10,5,2,10,3,5,0
236,3,4,6,3,2,7,7,1,9,10,6,8,2,8,3,7,0
237,5,11,6,9,4,5,8,11,9,8,7,5,3,8,4,8,0
238,3,7,5,5,3,9,11,2,2,4,10,8,2,12,1,8,0
239,7,10,6,5,4,10,7,4,4,12,4,5,4,11,5,9,0
240,5,9,6,7,6,6,9,4,6,9,9,6,5,9,3,6,0
241,6,11,9,8,5,8,10,7,5,10,4,3,3,10,4,8,0
242,4,10,6,8,2,9,11,0,4,6,11,8,0,10,0,8,0
243,3,3,4,4,2,5,8,4,1,7,9,8,7,10,0,8,0
244,6,9,8,7,5,6,11,7,3,11,5,3,2,10,4,8,0
245,5,6,7,7,6,7,8,4,5,7,7,8,4,6,8,6,0
246,4,2,4,4,3,8,7,6,10,6,5,9,2,8,6,8,0
247,4,8,5,6,3,7,5,6,9,5,6,10,0,9,9,8,0
248,3,7,3,5,2,3,8,6,11,7,5,14,0,8,7,8,0
249,5,9,7,7,6,7,9,5,6,10,6,6,3,8,7,8,0
250,1,9,1,7,1,7,7,0,9,7,6,8,0,8,3,8,0
251,6,8,7,6,4,9,6,4,6,10,3,8,2,8,5,10,0
252,3,8,4,6,3,8,6,8,6,7,8,9,2,10,9,8,0
253,3,7,4,5,2,5,8,6,7,6,8,13,1,8,4,10,0
254,8,10,11,8,9,9,6,2,5,9,4,7,11,9,3,8,0
255,9,10,7,5,3,6,11,6,2,11,5,5,4,10,4,8,0
256,2,4,4,3,3,7,8,4,4,9,5,8,2,6,3,10,0
257,3,8,5,6,6,8,7,4,4,6,7,8,7,9,5,6,0
258,6,6,6,4,3,4,8,5,8,11,11,9,3,9,2,6,0
259,3,8,4,6,2,5,7,10,8,7,7,5,3,8,4,8,0
260,2,1,3,1,1,7,5,11,5,7,14,8,3,10,0,8,0
261,2,5,3,4,2,10,7,2,6,11,3,7,1,6,2,7,0
262,7,13,7,7,5,6,7,2,9,11,6,8,4,5,8,6,0
263,5,11,7,8,6,7,9,3,6,12,7,6,3,9,2,7,0
264,1,0,2,1,0,8,9,4,2,7,12,8,2,10,0,8,0
265,6,5,8,4,7,6,9,5,3,6,4,8,13,8,5,7,0
266,3,6,4,4,1,7,5,13,5,7,13,8,3,9,0,8,0
267,3,7,4,5,5,7,7,4,6,6,6,6,2,8,5,10,0
268,4,8,6,6,4,6,5,1,9,7,2,10,0,6,3,8,0
269,4,10,5,8,3,8,13,0,5,7,10,8,0,8,0,8,0
270,8,12,8,6,4,9,4,4,6,12,3,8,5,6,5,10,0
271,6,11,6,8,4,6,10,1,10,11,9,5,2,8,4,4,0
272,5,8,7,6,4,7,5,8,4,6,4,7,3,9,4,9,0
273,1,0,2,1,0,7,14,1,4,7,10,8,0,8,0,8,0
274,4,3,5,2,2,5,8,5,7,10,10,9,3,9,2,6,0
275,2,4,4,2,2,9,6,4,6,11,4,6,2,8,3,8,0
276,4,8,5,5,3,5,11,8,3,7,4,8,3,7,6,11,0
277,7,10,7,7,5,5,7,7,6,9,8,10,2,9,5,9,0
278,2,1,2,2,1,6,7,8,7,6,6,6,2,8,3,8,0
279,3,8,4,6,4,7,7,7,5,7,6,8,2,8,8,8,0
280,7,10,9,8,10,9,5,5,4,9,6,9,6,9,12,11,0
281,6,10,9,8,8,7,7,2,4,9,7,8,8,6,2,8,0
282,4,8,6,6,8,9,6,2,2,8,4,8,7,7,2,5,0
283,6,7,8,6,6,5,7,6,7,7,4,7,3,6,5,6,0
284,4,9,6,7,4,8,6,2,9,12,5,9,3,6,8,8,0
285,4,9,7,7,5,9,8,4,1,6,9,8,7,11,0,8,0
286,2,1,3,2,1,6,8,6,7,7,8,12,1,9,4,10,0
287,3,6,4,4,4,6,7,3,7,6,6,9,3,8,6,10,0
288,6,9,9,7,5,8,5,7,7,8,6,7,2,6,4,6,0
289,6,9,8,8,8,8,7,3,5,7,8,8,6,8,4,5,1
290,5,12,5,6,4,8,7,3,6,10,5,7,5,8,7,6,0
291,4,8,6,6,4,8,8,8,6,7,6,8,4,7,4,8,0
292,3,4,4,3,1,4,12,3,3,10,11,7,2,11,1,8,0
293,4,7,4,5,2,9,10,6,9,5,6,6,0,7,8,9,0
294,4,9,6,6,4,9,8,1,6,13,5,5,1,10,2,9,0
295,5,10,7,8,5,8,3,3,1,7,1,8,5,9,5,8,1
296,3,2,4,3,3,8,7,5,6,7,6,6,2,8,6,9,0
297,2,3,3,2,2,7,9,5,4,7,6,7,5,9,2,7,0
298,6,10,5,6,3,6,6,4,4,6,7,8,5,5,2,8,0
299,4,10,5,8,5,7,7,5,8,5,6,8,0,8,9,8,0
300,2,5,3,6,3,8,8,7,2,5,7,10,3,9,5,9,0
301,4,8,4,5,1,1,13,5,5,12,11,7,0,8,2,6,0
302,4,9,6,6,5,5,10,4,6,10,10,6,2,10,3,6,0
303,5,10,8,8,4,8,7,4,10,6,6,8,4,6,8,9,0
304,3,7,5,5,3,11,3,2,2,8,2,9,3,4,2,8,1
305,4,9,4,6,3,6,7,9,7,7,6,7,2,8,9,10,0
306,5,9,6,7,5,7,7,8,7,7,6,7,2,8,3,8,0
307,2,6,3,4,1,14,1,6,5,14,2,11,0,7,0,8,0
308,4,8,5,5,2,7,5,15,1,7,9,8,3,8,0,8,0
309,6,9,7,4,3,6,9,5,5,4,4,10,8,7,2,8,0
310,3,7,4,5,2,7,7,0,7,13,6,8,0,8,1,7,0
311,6,10,6,8,6,2,10,2,3,10,9,8,7,11,2,6,0
312,3,6,4,4,3,6,7,8,5,7,5,7,3,7,3,8,0
313,1,3,2,2,1,10,3,2,1,9,2,9,1,6,1,8,1
314,2,3,4,1,1,7,8,2,6,10,5,7,1,8,4,8,0
315,1,0,1,0,0,5,10,6,1,9,6,5,0,9,2,8,0
316,6,9,8,8,8,7,6,5,7,7,5,9,6,5,9,4,0
317,7,9,10,7,6,5,6,4,5,11,10,11,11,5,4,8,0
318,4,8,5,6,5,8,11,3,6,6,11,8,3,12,1,7,0
319,3,6,4,4,2,5,5,1,9,6,2,11,0,8,3,7,0
320,3,6,4,4,1,7,7,4,4,7,6,8,3,8,4,8,0
321,2,4,3,6,2,7,7,8,6,5,7,9,2,7,5,11,0
322,6,10,8,8,5,10,5,4,8,11,3,7,4,6,4,9,0
323,3,4,4,6,2,3,8,6,10,7,6,14,0,8,7,7,0
324,2,3,2,1,1,6,9,6,3,8,7,8,4,9,1,7,0
325,2,4,3,3,2,6,6,6,5,6,6,9,2,8,4,8,0
326,7,10,6,8,3,2,11,5,5,12,12,8,2,10,1,8,0
327,2,7,4,4,2,7,3,3,2,7,2,8,3,7,2,8,1
328,5,9,4,4,2,8,7,4,4,10,5,10,3,8,7,10,0
329,4,5,5,8,2,3,6,7,3,7,8,12,3,8,3,10,0
330,6,9,9,6,6,5,7,3,5,10,10,9,8,6,3,8,0
331,5,11,5,6,3,7,5,3,5,12,7,11,3,8,6,9,0
332,5,6,5,4,2,5,12,3,8,12,9,4,1,11,2,4,0
333,2,4,4,3,2,7,6,6,6,6,6,10,2,9,4,9,0
334,2,4,4,3,1,8,8,2,7,15,5,8,0,7,1,8,0
335,5,10,5,7,2,1,14,5,4,12,10,6,0,8,2,5,0
336,7,8,7,6,6,6,11,5,2,9,6,6,8,13,4,4,0
337,3,6,5,4,3,12,3,2,2,9,2,9,2,6,2,8,1
338,6,11,8,8,5,9,5,1,7,10,3,9,5,9,5,11,0
339,1,1,2,2,1,5,10,4,4,10,8,4,1,9,3,7,0
340,7,6,9,5,9,7,7,5,4,6,5,8,10,8,5,5,0
341,2,6,3,4,2,8,7,7,5,7,6,9,2,8,3,8,0
342,4,11,5,8,3,6,6,6,9,4,6,9,0,9,9,8,0
343,4,6,6,5,5,4,7,3,6,6,6,10,4,10,7,7,0
344,1,0,2,1,0,8,7,6,4,7,6,8,2,8,3,8,0
345,2,1,3,2,1,7,7,5,9,6,6,9,1,8,7,8,0
346,4,9,6,7,6,9,7,3,6,7,4,5,6,6,9,8,0
347,4,4,5,3,3,6,11,5,2,8,7,6,6,11,2,6,0
348,4,9,4,6,5,6,6,8,6,6,6,7,2,8,7,9,0
349,6,11,6,8,4,4,8,5,6,12,10,11,2,10,3,7,0
350,2,4,3,3,2,5,10,3,5,10,9,5,1,10,3,6,0
351,1,4,0,6,0,7,7,4,4,7,6,8,0,8,0,8,0
352,1,3,2,2,1,8,7,3,5,10,5,7,2,8,3,9,0
353,3,4,5,2,2,8,9,3,5,13,4,3,1,10,3,8,0
354,11,14,10,8,4,6,8,3,7,9,8,10,6,8,4,6,0
355,4,5,5,4,2,5,8,5,8,10,8,8,3,9,3,5,0
356,3,8,4,6,2,7,7,14,2,5,6,8,5,8,0,8,0
357,4,11,6,8,1,7,11,2,3,8,12,8,1,11,0,8,0
358,3,5,5,6,4,8,8,4,4,7,6,8,3,7,8,8,0
359,8,15,7,8,4,8,5,4,9,11,4,10,3,6,9,9,0
360,4,5,4,7,4,9,7,6,2,8,6,11,3,9,6,8,0
361,1,0,1,0,0,8,7,2,9,8,6,8,0,8,5,8,0
362,4,5,5,6,5,7,9,5,4,8,6,7,4,9,8,7,0
363,8,10,11,8,8,9,6,2,5,9,6,7,8,6,2,8,0
364,4,7,5,5,2,5,7,10,9,7,6,5,3,8,4,8,0
365,2,3,3,1,1,8,9,3,4,10,4,6,4,9,1,7,0
366,5,10,8,8,5,3,10,3,3,9,10,9,8,11,1,8,0
367,4,9,4,6,4,7,5,13,5,7,10,8,3,9,0,8,0
368,6,11,8,9,6,6,6,7,5,5,6,12,5,7,5,6,0
369,7,11,9,8,11,8,5,4,3,6,5,10,8,7,9,13,0
370,5,10,4,5,3,7,7,5,4,7,4,7,5,8,5,8,0
371,2,6,3,4,1,8,6,13,5,7,13,8,3,9,0,8,0
372,6,10,8,8,8,6,7,5,3,7,5,8,5,7,10,8,0
373,4,8,6,6,3,4,8,5,1,7,9,8,8,10,0,8,0
374,5,7,7,5,5,5,7,2,6,10,8,11,3,8,3,8,0
375,5,11,4,6,2,9,6,4,6,10,5,9,1,10,7,9,0
376,3,6,5,4,1,9,8,4,2,5,14,8,3,10,0,8,0
377,8,12,8,7,6,9,6,3,5,9,4,8,6,8,6,8,0
378,4,11,5,8,5,9,6,6,10,7,5,6,2,7,8,8,0
379,4,10,6,7,4,7,8,3,7,10,5,7,2,6,5,8,0
380,3,6,5,4,5,7,8,3,3,8,7,8,5,9,5,4,0
381,5,11,8,8,4,5,8,2,8,10,11,9,3,9,4,6,0
382,3,6,4,4,2,5,7,3,7,7,6,12,0,8,4,9,0
383,1,2,2,3,1,8,7,4,1,7,8,10,2,9,3,9,0
